person_id,team_name,position,birthdate,join_date,retire_date
521,Cold Colts,,1990-11-17,2022-05-04,2022-05-11
522,Cold Huskies,,1986-05-16,2022-05-05,
523,,manager,1980-09-29,2022-05-06,
524,Broom Hawks,,2004-05-10,2022-05-08,
525,Curlers Terriers,,2004-03-16,2022-05-09,
526,Broom Mets,,2015-05-10,2022-05-09,
527,Toronto Rockets,,2003-09-29,2022-05-10,
528,Toronto Eagles,,1990-04-09,2022-05-11,
529,Toronto Olympics,,2015-05-11,2022-05-11,2022-05-28
530,Vancouver Islanders,,1979-06-29,2022-05-12,2022-05-22
531,Calgary Fleur-de-Lys,,1999-10-08,2022-05-12,
532,Super Atlantics,,2015-04-15,2022-05-13,2022-05-15
533,,cleaner,1995-11-09,2022-05-13,
534,,manager,1993-04-21,2022-05-13,
535,,cleaner,1971-06-02,2022-05-14,
536,Ice Huskies,,2015-04-29,2022-05-15,2022-05-19
537,Ice Cougars,,1972-09-16,2022-05-17,
538,Ice Dodgers,,2015-04-27,2022-05-18,
539,Stone Timberwolves,,2013-12-05,2022-05-21,
540,Calgary Metros,,2001-09-13,2022-05-22,2022-05-25
541,Cold Colts,,1986-09-07,2022-05-23,2022-05-25
542,Ice Unicorns,,2013-06-18,2022-05-23,
543,,coach,1967-12-24,2022-05-23,
544,Rolling Stones,,2007-05-01,2022-05-24,
545,,cleaner,2004-03-24,2022-05-28,
546,Super Lords,,2015-01-14,2022-05-29,
